batch_id,status,class,true_class_cn,confidence,source_path,batch_image_path,batch_label_path,selected_at,annotated_at,notes
batch_004,selected,stain,脏点,0.1066845953464508,D:\code\VisualInspection\铝型材缺陷图\data\ali2018\Dirty spot\脏点20180910093122对照样本.jpg,D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\batches\batch_004\images\stain__脏点20180910093122对照样本.jpg,D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\batches\batch_004\labels\stain__脏点20180910093122对照样本.txt,2026-06-23T09:32:06,,selected from standard class folders; source class trusted over weak full-screen classifier; classifier_pred=横条压凹; classifier_correct=False
batch_004,selected,stain,脏点,0.11513444036245346,D:\code\VisualInspection\铝型材缺陷图\data\ali2018\Dirty spot\脏点20180913105855对照样本.jpg,D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\batches\batch_004\images\stain__脏点20180913105855对照样本.jpg,D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\batches\batch_004\labels\stain__脏点20180913105855对照样本.txt,2026-06-23T09:32:06,,selected from standard class folders; source class trusted over weak full-screen classifier; classifier_pred=横条压凹; classifier_correct=False
batch_004,selected,stain,脏点,0.10743710398674011,D:\code\VisualInspection\铝型材缺陷图\data\ali2018\Dirty spot\脏点20180831143130对照样本.jpg,D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\batches\batch_004\images\stain__脏点20180831143130对照样本.jpg,D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\batches\batch_004\labels\stain__脏点20180831143130对照样本.txt,2026-06-23T09:32:06,,selected from standard class folders; source class trusted over weak full-screen classifier; classifier_pred=横条压凹; classifier_correct=False
batch_004,selected,stain,脏点,0.1058659702539444,D:\code\VisualInspection\铝型材缺陷图\data\ali2018\Dirty spot\脏点20180910094131对照样本.jpg,D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\batches\batch_004\images\stain__脏点20180910094131对照样本.jpg,D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\batches\batch_004\labels\stain__脏点20180910094131对照样本.txt,2026-06-23T09:32:06,,selected from standard class folders; source class trusted over weak full-screen classifier; classifier_pred=桔皮; classifier_correct=False
batch_004,selected,stain,脏点,0.10675365477800369,D:\code\VisualInspection\铝型材缺陷图\data\ali2018\Dirty spot\脏点20180831094211对照样本.jpg,D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\batches\batch_004\images\stain__脏点20180831094211对照样本.jpg,D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\batches\batch_004\labels\stain__脏点20180831094211对照样本.txt,2026-06-23T09:32:06,,selected from standard class folders; source class trusted over weak full-screen classifier; classifier_pred=正常/合格品; classifier_correct=False
batch_004,selected,stain,脏点,0.10608746856451035,D:\code\VisualInspection\铝型材缺陷图\data\ali2018\Dirty spot\脏点20180910094109对照样本.jpg,D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\batches\batch_004\images\stain__脏点20180910094109对照样本.jpg,D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\batches\batch_004\labels\stain__脏点20180910094109对照样本.txt,2026-06-23T09:32:06,,selected from standard class folders; source class trusted over weak full-screen classifier; classifier_pred=横条压凹; classifier_correct=False
batch_004,selected,stain,脏点,0.10650938749313354,D:\code\VisualInspection\铝型材缺陷图\data\ali2018\Dirty spot\脏点20180831145927对照样本.jpg,D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\batches\batch_004\images\stain__脏点20180831145927对照样本.jpg,D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\batches\batch_004\labels\stain__脏点20180831145927对照样本.txt,2026-06-23T09:32:06,,selected from standard class folders; source class trusted over weak full-screen classifier; classifier_pred=正常/合格品; classifier_correct=False
batch_004,selected,stain,脏点,0.10591034591197968,D:\code\VisualInspection\铝型材缺陷图\data\ali2018\Dirty spot\脏点20180910095234对照样本.jpg,D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\batches\batch_004\images\stain__脏点20180910095234对照样本.jpg,D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\batches\batch_004\labels\stain__脏点20180910095234对照样本.txt,2026-06-23T09:32:06,,selected from standard class folders; source class trusted over weak full-screen classifier; classifier_pred=横条压凹; classifier_correct=False
batch_004,selected,stain,脏点,0.1061515137553215,D:\code\VisualInspection\铝型材缺陷图\data\ali2018\Dirty spot\脏点20180903100757对照样本.jpg,D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\batches\batch_004\images\stain__脏点20180903100757对照样本.jpg,D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\batches\batch_004\labels\stain__脏点20180903100757对照样本.txt,2026-06-23T09:32:06,,selected from standard class folders; source class trusted over weak full-screen classifier; classifier_pred=横条压凹; classifier_correct=False
batch_004,selected,stain,脏点,0.11483649164438248,D:\code\VisualInspection\铝型材缺陷图\data\ali2018\Dirty spot\脏点20180910095958对照样本.jpg,D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\batches\batch_004\images\stain__脏点20180910095958对照样本.jpg,D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\batches\batch_004\labels\stain__脏点20180910095958对照样本.txt,2026-06-23T09:32:06,,selected from standard class folders; source class trusted over weak full-screen classifier; classifier_pred=碰伤; classifier_correct=False
